frame,edge_density,motion_score,activity_index,mean_brightness,color_variance,video_name,source_file
frame_000615.jpg,0.124974,0.036985,0.16196,87.52,47.14,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000616.jpg,0.125149,0.018876,0.144026,87.52,47.18,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000617.jpg,0.125165,0.038698,0.163863,87.49,47.2,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000618.jpg,0.125414,0.040948,0.166362,87.47,47.18,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000619.jpg,0.125291,0.027137,0.152429,87.58,47.15,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000620.jpg,0.125089,0.029705,0.154794,87.57,47.13,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000621.jpg,0.124574,0.042541,0.167115,87.61,47.15,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000622.jpg,0.124593,0.024318,0.148912,87.54,47.15,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000623.jpg,0.124871,0.039027,0.163898,87.55,47.17,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000624.jpg,0.125204,0.039502,0.164706,87.5,47.15,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000625.jpg,0.125115,0.018686,0.143801,87.52,47.16,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000626.jpg,0.124787,0.016901,0.141688,87.53,47.16,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000627.jpg,0.12514,0.040215,0.165354,87.55,47.2,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000628.jpg,0.125343,0.036786,0.162129,87.54,47.22,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000629.jpg,0.124877,0.024284,0.149161,87.59,47.17,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000630.jpg,0.124255,0.082374,0.206629,87.57,47.21,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000631.jpg,0.124062,0.030201,0.154263,87.61,47.14,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000632.jpg,0.124563,0.032085,0.156648,87.51,47.16,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
